# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 15 15:49:49 2019
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%CONFIRMED%')
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [AU]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613385,122.7633008,0.8186,1.74259,1.4186e+04,12.85,0.0350,84.22,1344.0,772.22,1,5850.00,4.455,-0.1500,0.9500,0.9400,,286.808470,49.316399,11.338
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735365,121.3585723,0.0010,3.88216,6.6906e+03,16.39,0.0381,89.95,2025.0,3973.70,1,6350.00,4.021,0.2600,1.9910,1.5200,,292.247280,47.969521,10.463
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,4.887802706,124.8131411,0.0260,2.36386,4.3421e+03,4.84,0.0530,89.95,801.0,97.10,1,4777.00,4.590,0.3200,0.7650,0.8290,,297.709350,48.080853,9.174
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,3.849371501,157.5267380,0.9193,2.66050,1.3173e+03,13.10,0.0548,80.21,2035.0,4055.29,1,6244.00,3.657,-0.1600,2.9920,1.4820,,294.356540,38.947380,11.432
7,11853905,K00007.01,Kepler-4 b,CONFIRMED,3.213668628,123.6119340,0.0189,3.99355,7.2770e+02,4.14,0.0439,89.95,1507.0,1218.92,1,5781.00,4.105,0.0900,1.5330,1.0920,,285.615330,50.135750,12.211
10,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498573,121.1194294,0.6141,3.19061,9.3793e+03,14.83,0.0473,85.37,1521.0,1264.67,1,6225.00,4.169,-0.0400,1.4510,1.1320,,281.288120,42.451080,13.563
12,5812701,K00012.01,Kepler-448 b,CONFIRMED,17.855219698,146.5963880,0.0009,7.42939,9.1536e+03,14.63,0.1463,89.95,942.0,186.24,1,6635.00,4.193,-0.0400,1.5160,1.3120,,297.453740,41.010990,11.353
13,9941662,K00013.01,Kepler-13 b,CONFIRMED,1.763587569,120.5659253,0.3742,3.18137,4.5989e+03,25.80,0.0386,84.80,3560.0,37958.27,1,9107.00,3.867,0.0700,3.0310,2.4660,,286.971190,46.868359,9.958
17,10874614,K00017.01,Kepler-6 b,CONFIRMED,3.234699312,121.4865705,0.0008,3.60111,1.0814e+04,13.41,0.0435,89.95,1355.0,797.62,1,5640.00,4.236,0.3400,1.2910,1.0470,,296.837250,48.239944,13.303
18,8191672,K00018.01,Kepler-5 b,CONFIRMED,3.548465405,122.9014699,0.0003,4.57705,7.4519e+03,15.28,0.0500,89.95,1640.0,1708.28,1,6290.00,4.074,0.0400,1.7460,1.3190,,299.407010,44.035053,13.369
